"Variable","Description","Integrative_Estimator_RPDR","Integrative_Estimator_VA","Local_Estimator_RPDR","Local_Estimator_VA"
"Other lab:1000065367","wbcclps",0,0.0320912310569127,0,0.0295234625793492
"Other lab:1000068011","ur.prot",0,0.000420394022522299,0,0.000574219959308902
"Other lab:1000070739","protein",0,0.000602275589324146,0,0.013936746742755
"Other lab:1000075103","wbc/hpf",0,0.0209535810099768,0,0.00984647455986182
"Other lab:1000075763","ur urob",0,0,0,0.00148116197414925
"Other lab:1000075988","glu",0,0.000363368739520302,0,0
"Other lab:1000076382","glucose",0,0,0,8.82072899229171e-08
"Other lab:1000076744","urobili",0,0.00203415859710509,0,9.52773314668422e-05
"Other lab:1000077493","ur. bld",0,0.0382218509569219,0,0.0153430852999258
"Other lab:1000078423","leu ase",0,0.070824306879562,0,0.027809751668638
"Other lab:1000078525","urobili",0,0.00121151620592585,0,0.00448966167000874
"Other lab:1000078998",".ur urobil",0,0.0128942772431164,0,0.00136753896919153
"Other lab:1000079548",".ur bld",0,0.0598079437373176,0,0.0582603958263484
"Other lab:1000079759","ur. bld",0,1.16253611929551e-05,0,0
"Other lab:1000080207",".leu est",0,3.03506619227055e-06,0,0
"Other lab:1000080999",".ur protein",0,4.86064373042865e-09,0,0
"Other lab:1000081414","epicast",0,0.0608143785656815,0,0.000418055766950575
"Other lab:1000081481","urobili",0,0.0282364260824671,0,0.00163507966693102
"Other lab:1000081653","*prot",0,0.00286664832960855,0,0.0147411582198768
"Other lab:1000082530","protein",0,0.0386694552431941,0,0.0477796518924927
"Other lab:1000083088",".ur glu",0,0.000422295734359308,0,0.00172769541384565
"Other lab:1000083103","ovalfat",0,0,0,0.00913065592668635
"Other lab:1000084244","protein",0,0.000772425132492605,0,0
"Other lab:1000085621","ufat",0,0,0,0
"Other lab:1000085769","leu est",0,0.0156772797798243,0,0.0199232454723279
"Other lab:1000086679","glu",0,0,0,0
"Other lab:1000087659","glu",0,0,0,0
"Other lab:1000089182","ur.prot",0,1.68900466625391e-05,0,0
"Other lab:1000089636","glu",0,0,0,0
"Other lab:1000089737","leuk es",0,0,0,0
"Other lab:1000090069","micro",0,0.0127605107737928,0,0.0124466242465261
"Other lab:1000090817","uamicro",0,0.0253953641493602,0,0.00647844101419888
"Other lab:1000092056","ur bld",0,0.000450250851162579,0,0.00111268561691714
"Other lab:1000093491","ur.gluc",0,6.71711935497403e-09,0,0
"Other lab:1000093628","ur. bld",0,0.00222462318705089,0,0
"Other lab:1000094305","uric ac",0,0,0,0.0292076024535594
"Other lab:1000094359","*l est",0,0,0,0
"Other lab:1000102143","uaepins",0,0.0346599860355691,0,0.0325113241838189
"Other lab:1000109537","poc-leuk",0,0.0939405153927233,0,0.0959733934523374
"Other lab:1000109539","poc-urobil",0,0.0407653179848294,0,0.0407939877245867
"Other lab:1000109540","poc-protein",0,0.00194062965481515,0,0.000421282499388936
"Other lab:1000109542","poc-urine bld",0,0,0,0
"Other lab:1000109546","poc glu",0,0,0,0
"Other lab:1000119985","auto microscopic",0,0.0384439978831373,0,0.0313084442547495
"Other lab:1200002011","protein",0,0.0454598694719896,0,0.0186789055477332
"Other lab:1200008109","urobili",0,0.0229025193016891,0,0.00726850927285904
"Other lab:1200008113","glu",0,0.0434996343297195,0,0.0303076507922229
"Other lab:1200008114","protein",0,4.44936781963195e-07,0,1.53141202205268e-05
"Other lab:1200019567","urobili",0,0.0798038027893282,0,0.0669837704605384
"Other lab:1200019571","ur glu",0,1.60465837498327e-06,0,0.000644852986819329
"Other lab:1200019572","protein",0,6.45447639400087e-09,0,0
"Other lab:1200019831","ur. bld",0,6.01971715715247e-06,0,2.36233986600187e-05
"Other lab:1200019858","leu ase",0,0,0,0
"Other lab:1200020522","urobil",0,0.0177844539282467,0,0.0124971773065646
"Other lab:1200020526","ur glu",0,0.0559782980405612,0,0.0567115740171137
"Other lab:1200020527","pro ur",0,0.000841281985535011,0,0
"Other lab:1200020963","urobili",0,0.0734262442965312,0,0.0451583714453523
"Other lab:1200020967","glu",0,2.4399434569188e-05,0,1.62024770183106e-07
"Other lab:1200020968","protein",0,0.00660958575145014,0,0.000926231196199719
"Other lab:1200022443","urobili",0,0.0703126604163371,0,0.0672236574754707
"Other lab:1200022447","ur gluc",0,1.14796733832499e-15,0,1.73470777685657e-14
"Other lab:1200022448","protein",0,1.0239892121147e-05,0,0.000725455646514309
"Other lab:1200028100","urobili",0,0.0812403986439311,0,0.0481053071697883
"Other lab:1200028104","ur glu",0,1.18217656856866e-07,0,0
"Other lab:1200028105","ur prot",0,5.49329158699409e-07,0,6.35336450650379e-06
"Other lab:1200030289","urobili",0,0.0901669705447233,0,0.0416049482368731
"Other lab:1200030293","glu",0,0.0823061279747814,0,0.0782892070760932
"Other lab:1200030294","protein",0,5.1207653712199e-05,0,0.000455249598469793
"Other lab:1200032250","ur. bld",0,0.000164817244582587,0,0
"Other lab:1200032294","ur bld",0,0,0,7.46584159709492e-06
"Other lab:1200032660","leu ase",0,0.000118822315416458,0,0.00122375607028708
"Other lab:1200033135","ur. bld",0,0.00185711197619237,0,0.000403722043731488
"Other lab:1200033372","leu ase",0,0,0,0
"Other lab:1200035363","leu est",0,0,0,0.00975763337694506
"Other lab:1200038123","ur. bld",0,0,0,0
"Other lab:1200046058","urleuk",0,3.10173824385672e-06,0,0
"Other lab:1200048161","micros",0,0.00486456677240239,0,0.0228450483641828
"Other lab:1200048315","leu ase",0,0,0,0
"Other lab:1200048328","glucose",0,1.23138088000583e-05,0,1.76779242396574e-06
"Other lab:1200048500","ur.bld",0,0,0,0
"Other lab:1200050684","wbc clu",0,0.0199997055625475,0,0.0244579456136201
"Other lab:1200056872","leu ase",0,2.16360910788822e-05,0,4.37064534846181e-06
"Other lab:1200057041","ur. bld",0,0,0,0
"Other lab:1200068368","urblood",0,0.00033063914727612,0,0
"Other lab:1200083031","leukoc",0,1.71600197329498e-07,0,5.08774873442287e-06
"Other lab:1200090218","wbc cl",0,0.0285715943697127,0,0.0270197247767561
"Other lab:1200104189","urob",0,0.00509248359145874,0,0.005425215752205
"Other lab:1200105234","uro",0,0.000725694757875098,0,0.00584517251423405
"Other lab:1200114832","poccglu",0,0.169443197110457,0,0.155639416413925
"Other lab:1200114836","poccocb",0,5.34924867417786e-17,0,2.89645904738969e-17
"Other lab:1200114838","poccpro",0,4.22309105856147e-18,0,0
"Other lab:1200114839","poccuro",0,0,0,0
"Other lab:1400001196","ur. bld",0,0.0316534192135895,0,0.0319189812985583
"Other lab:1400001210","urobili",0,3.88834270264092e-08,0,0
"Other lab:1400001212","upr",0,2.1029806458909e-08,0,5.94097418395881e-06
"Other lab:1400002210","umicr",0,0.0373552517066286,0,0.0220072446629955
"Other lab:1400002902","ur. bld",0,0.0835547270099203,0,0.0763869425068585
"Other lab:1400002919","urobili",0,2.95031448484533e-08,0,0
